Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.488661,0.125639,6.471249,6.506074,6.487824,6.155359,6.785985,200
avg_utility_extremist,8.921852,0.564258,8.843650,9.000054,8.946600,7.243961,10.199778,200
avg_utility_mainstream,6.218307,0.122566,6.201320,6.235293,6.216411,5.856877,6.521896,200
avg_utility_gov_algorithmic,6.259216,0.152226,6.238119,6.280314,6.256710,5.821109,6.582783,200
avg_utility_gov_coalition,6.145571,0.258631,6.109727,6.181415,6.160695,5.515186,6.794118,200
avg_utility_gov_direct,8.396184,0.370892,8.344781,8.447587,8.368972,7.417718,9.304683,200
avg_utility_extremist_algorithmic,6.905104,1.051793,6.744616,7.065593,7.083333,3.628571,9.557377,165
avg_utility_extremist_direct,10.899595,0.274273,10.861582,10.937607,10.952718,10.048780,11.337706,200
avg_utility_mainstream_algorithmic,6.220160,0.139354,6.200846,6.239473,6.205766,5.765388,6.564347,200
avg_utility_mainstream_coalition,6.087233,0.250888,6.052462,6.122004,6.107710,5.372033,6.794118,200
avg_utility_mainstream_direct,6.551979,0.393383,6.497459,6.606499,6.557644,5.675529,7.574903,200
norm_utility_extremist,0.743488,0.047022,0.736971,0.750005,0.745550,0.603663,0.849981,200
norm_utility_mainstream,0.621831,0.012257,0.620132,0.623529,0.621641,0.585688,0.652190,200
total_relocations,59503.565000,1417.037750,59307.173588,59699.956412,59504.500000,55647.000000,62307.000000,200
avg_relocations_per_community,66.115072,1.574486,65.896860,66.333285,66.116111,61.830000,69.230000,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,631.075000,34.219795,626.332378,635.817622,633.500000,531.000000,712.000000,200
final_proportion_algorithmic,0.701194,0.038022,0.695925,0.706464,0.703889,0.590000,0.791111,200
final_count_coalition,161.250000,30.131829,157.073942,165.426058,157.000000,101.000000,257.000000,200
final_proportion_coalition,0.179167,0.033480,0.174527,0.183807,0.174444,0.112222,0.285556,200
final_count_direct,107.675000,15.765536,105.490008,109.859992,108.000000,74.000000,160.000000,200
final_proportion_direct,0.119639,0.017517,0.117211,0.122067,0.120000,0.082222,0.177778,200
final_count_extremist_algorithmic,34.330000,17.926458,31.845520,36.814480,42.000000,0.000000,62.000000,200
final_count_extremist_coalition,10.735000,17.821696,8.265039,13.204961,0.000000,0.000000,56.000000,200
final_count_extremist_direct,44.935000,4.655010,44.289848,45.580152,45.000000,28.000000,56.000000,200
final_count_mainstream_algorithmic,596.745000,26.783141,593.033046,600.456954,597.500000,531.000000,664.000000,200
final_count_mainstream_coalition,150.515000,23.321648,147.282784,153.747216,149.000000,101.000000,226.000000,200
final_count_mainstream_direct,62.740000,14.828412,60.684887,64.795113,61.000000,36.000000,107.000000,200
avg_utility_extremist_coalition,6.947642,1.010241,6.698177,7.197108,6.727273,4.875000,9.107544,63
burst_rate,0.747222,,,,,,,
burst_size_median,40.000000,,,,,,,
escalation_mean_slope,0.435706,,,,,,,
escalation_p_value,0.000003,,,,,,,
displacement_util_delta_mean,0.026182,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.970754,,,,,,,
enclave_settling_step,7.323333,,,,,,,
burst_rate,0.747222,,,,,,,
burst_size_median,40.000000,,,,,,,
escalation_mean_slope,0.435706,,,,,,,
escalation_p_value,0.000003,,,,,,,
displacement_util_delta_mean,0.026182,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.970754,,,,,,,
enclave_settling_step,7.323333,,,,,,,
burst_rate,0.747222,,,,,,,
burst_size_median,40.000000,,,,,,,
escalation_mean_slope,0.435706,,,,,,,
escalation_p_value,0.000003,,,,,,,
displacement_util_delta_mean,0.026182,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.970754,,,,,,,
enclave_settling_step,7.323333,,,,,,,
