Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.661564,0.106851,6.646755,6.676372,6.663769,6.375556,6.924127,200
avg_utility_extremist,8.779250,0.490789,8.711230,8.847269,8.814800,6.941270,9.831728,200
avg_utility_mainstream,6.426265,0.100929,6.412277,6.440253,6.422676,6.169639,6.707146,200
avg_utility_gov_algorithmic,6.443210,0.117967,6.426860,6.459559,6.441532,6.112678,6.762410,200
avg_utility_gov_coalition,6.401179,0.203633,6.372956,6.429401,6.385296,5.946183,6.957711,200
avg_utility_gov_direct,9.131702,0.326606,9.086437,9.176968,9.136199,8.400641,10.294762,200
avg_utility_extremist_algorithmic,6.978204,0.967790,6.835222,7.121186,7.096512,3.326531,9.088889,176
avg_utility_extremist_direct,10.512949,0.201904,10.484967,10.540932,10.504115,10.021277,11.024130,200
avg_utility_mainstream_algorithmic,6.411357,0.107012,6.396526,6.426188,6.419513,6.112678,6.729595,200
avg_utility_mainstream_coalition,6.356048,0.188389,6.329939,6.382158,6.343986,5.878617,6.779221,200
avg_utility_mainstream_direct,7.105558,0.413834,7.048203,7.162912,7.112785,6.130952,8.312500,200
norm_utility_extremist,0.731604,0.040899,0.725936,0.737272,0.734567,0.578439,0.819311,200
norm_utility_mainstream,0.642627,0.010093,0.641228,0.644025,0.642268,0.616964,0.670715,200
total_relocations,70690.580000,622.159130,70604.353144,70776.806856,70653.000000,69004.000000,72234.000000,200
avg_relocations_per_community,78.545089,0.691288,78.449281,78.640897,78.503333,76.671111,80.260000,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,660.890000,24.142748,657.543986,664.236014,663.000000,580.000000,712.000000,200
final_proportion_algorithmic,0.734322,0.026825,0.730604,0.738040,0.736667,0.644444,0.791111,200
final_count_coalition,162.740000,22.812374,159.578366,165.901634,160.000000,113.000000,258.000000,200
final_proportion_coalition,0.180822,0.025347,0.177309,0.184335,0.177778,0.125556,0.286667,200
final_count_direct,76.370000,10.713871,74.885133,77.854867,76.000000,45.000000,114.000000,200
final_proportion_direct,0.084856,0.011904,0.083206,0.086505,0.084444,0.050000,0.126667,200
final_count_extremist_algorithmic,35.020000,16.053291,32.795127,37.244873,42.000000,0.000000,54.000000,200
final_count_extremist_coalition,10.045000,15.810212,7.853816,12.236184,0.000000,0.000000,57.000000,200
final_count_extremist_direct,44.935000,4.655010,44.289848,45.580152,45.000000,28.000000,56.000000,200
final_count_mainstream_algorithmic,625.870000,17.971309,623.379304,628.360696,626.000000,580.000000,670.000000,200
final_count_mainstream_coalition,152.695000,16.606046,150.393519,154.996481,153.000000,113.000000,205.000000,200
final_count_mainstream_direct,31.435000,9.482901,30.120737,32.749263,30.500000,8.000000,63.000000,200
avg_utility_extremist_coalition,7.170184,1.046498,6.936436,7.403933,7.136364,4.222222,9.636364,77
burst_rate,0.661667,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,-0.008341,,,,,,,
escalation_p_value,0.923765,,,,,,,
displacement_util_delta_mean,0.027174,,,,,,,
displacement_frac_negative,0.010000,,,,,,,
enclave_mean_homogeneity,0.988857,,,,,,,
enclave_settling_step,3.972222,,,,,,,
burst_rate,0.661667,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,-0.008341,,,,,,,
escalation_p_value,0.923765,,,,,,,
displacement_util_delta_mean,0.027174,,,,,,,
displacement_frac_negative,0.010000,,,,,,,
enclave_mean_homogeneity,0.988857,,,,,,,
enclave_settling_step,3.972222,,,,,,,
burst_rate,0.661667,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,-0.008341,,,,,,,
escalation_p_value,0.923765,,,,,,,
displacement_util_delta_mean,0.027174,,,,,,,
displacement_frac_negative,0.010000,,,,,,,
enclave_mean_homogeneity,0.988857,,,,,,,
enclave_settling_step,3.972222,,,,,,,
