Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.203554,0.233436,6.171201,6.235906,6.203108,5.620904,6.793333,200
avg_utility_extremist,12.390346,1.068228,12.242297,12.538395,12.265233,9.902158,16.085963,200
avg_utility_mainstream,5.111767,0.313220,5.068357,5.155177,5.148539,4.412892,5.711269,200
avg_utility_gov_algorithmic,5.470047,0.528871,5.396749,5.543345,5.434155,4.453988,6.567426,200
avg_utility_gov_coalition,5.693428,0.923309,5.565464,5.821392,5.509930,3.859322,8.402540,200
avg_utility_gov_direct,9.260169,0.890322,9.136777,9.383561,9.267062,6.748035,11.653913,200
avg_utility_extremist_algorithmic,8.500481,1.846160,8.153894,8.847068,8.142857,4.533333,14.122449,109
avg_utility_extremist_direct,15.959750,0.666281,15.867409,16.052092,15.966380,14.193548,17.500000,200
avg_utility_mainstream_algorithmic,5.315238,0.401306,5.259620,5.370856,5.349295,4.453988,6.141862,200
avg_utility_mainstream_coalition,4.737099,0.423858,4.678355,4.795843,4.747140,3.450606,5.855148,200
avg_utility_mainstream_direct,4.610980,0.398502,4.555750,4.666209,4.641741,2.517463,5.620196,200
norm_utility_extremist,0.619517,0.053411,0.612115,0.626920,0.613262,0.495108,0.804298,200
norm_utility_mainstream,0.511177,0.031322,0.506836,0.515518,0.514854,0.441289,0.571127,200
total_relocations,41546.380000,1102.621493,41393.564458,41699.195542,41432.000000,39038.000000,45043.000000,200
avg_relocations_per_community,46.162644,1.225135,45.992849,46.332439,46.035556,43.375556,50.047778,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,554.865000,42.286137,549.004440,560.725560,556.000000,436.000000,671.000000,200
final_proportion_algorithmic,0.616517,0.046985,0.610005,0.623028,0.617778,0.484444,0.745556,200
final_count_coalition,176.940000,34.224303,172.196754,181.683246,177.000000,75.000000,271.000000,200
final_proportion_coalition,0.196600,0.038027,0.191330,0.201870,0.196667,0.083333,0.301111,200
final_count_direct,168.195000,27.768189,164.346525,172.043475,166.000000,113.000000,256.000000,200
final_proportion_direct,0.186883,0.030854,0.182607,0.191159,0.184444,0.125556,0.284444,200
final_count_extremist_algorithmic,33.830000,33.258408,29.220620,38.439380,25.000000,0.000000,86.000000,200
final_count_extremist_coalition,33.975000,32.668187,29.447420,38.502580,42.000000,0.000000,81.000000,200
final_count_extremist_direct,67.195000,5.903493,66.376818,68.013182,68.000000,49.000000,81.000000,200
final_count_mainstream_algorithmic,521.035000,46.555891,514.582683,527.487317,521.500000,363.000000,626.000000,200
final_count_mainstream_coalition,142.965000,41.339552,137.235630,148.694370,141.000000,56.000000,248.000000,200
final_count_mainstream_direct,101.000000,26.738450,97.294240,104.705760,100.000000,43.000000,198.000000,200
avg_utility_extremist_coalition,9.736261,2.170405,9.325011,10.147510,9.469388,5.126761,15.405797,107
burst_rate,0.998333,,,,,,,
burst_size_median,58.000000,,,,,,,
escalation_mean_slope,15.030650,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.121349,,,,,,,
displacement_frac_negative,0.075676,,,,,,,
enclave_mean_homogeneity,0.797046,,,,,,,
enclave_settling_step,48.469388,,,,,,,
burst_rate,0.998333,,,,,,,
burst_size_median,58.000000,,,,,,,
escalation_mean_slope,15.030650,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.121349,,,,,,,
displacement_frac_negative,0.075676,,,,,,,
enclave_mean_homogeneity,0.797046,,,,,,,
enclave_settling_step,48.469388,,,,,,,
