Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.445075,0.149289,6.424385,6.465766,6.456111,6.014223,6.842667,200
avg_utility_extremist,11.779725,0.839348,11.663397,11.896052,11.833527,9.264720,13.827286,200
avg_utility_mainstream,5.852336,0.154810,5.830881,5.873792,5.863732,5.445990,6.290627,200
avg_utility_gov_algorithmic,6.112574,0.198455,6.085069,6.140078,6.120233,5.581630,6.721838,200
avg_utility_gov_coalition,6.161911,0.401287,6.106296,6.217527,6.126896,5.185003,7.122891,200
avg_utility_gov_direct,9.041601,0.694969,8.945283,9.137919,9.006388,7.087598,10.899803,200
avg_utility_extremist_algorithmic,9.085347,1.936030,8.813609,9.357086,8.774306,5.000000,17.166667,195
avg_utility_extremist_coalition,11.502250,3.015993,11.024346,11.980154,11.467323,4.335404,17.512195,153
avg_utility_extremist_direct,14.615696,0.563429,14.537609,14.693783,14.669034,12.736822,16.107934,200
avg_utility_mainstream_algorithmic,5.965754,0.172907,5.941790,5.989717,5.977268,5.484071,6.516391,200
avg_utility_mainstream_coalition,5.747572,0.300910,5.705868,5.789276,5.738523,4.866950,6.427872,200
avg_utility_mainstream_direct,4.983669,0.277764,4.945173,5.022165,4.974355,4.212217,5.897092,200
norm_utility_extremist,0.981644,0.069946,0.971950,0.991338,0.986127,0.772060,1.152274,200
norm_utility_mainstream,0.585234,0.015481,0.583088,0.587379,0.586373,0.544599,0.629063,200
total_relocations,61768.085000,538.918243,61693.394742,61842.775258,61813.500000,60053.000000,63089.000000,200
avg_relocations_per_community,68.631206,0.598798,68.548216,68.714195,68.681667,66.725556,70.098889,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,635.570000,29.456127,631.487589,639.652411,637.500000,552.000000,722.000000,200
final_proportion_algorithmic,0.706189,0.032729,0.701653,0.710725,0.708333,0.613333,0.802222,200
final_count_coalition,162.025000,25.006620,158.559259,165.490741,160.000000,100.000000,229.000000,200
final_proportion_coalition,0.180028,0.027785,0.176177,0.183879,0.177778,0.111111,0.254444,200
final_count_direct,102.405000,15.438026,100.265399,104.544601,103.000000,61.000000,142.000000,200
final_proportion_direct,0.113783,0.017153,0.111406,0.116161,0.114444,0.067778,0.157778,200
final_count_extremist_algorithmic,33.875000,14.684603,31.839818,35.910182,37.500000,0.000000,59.000000,200
final_count_extremist_coalition,13.700000,14.194273,11.732774,15.667226,9.500000,0.000000,57.000000,200
final_count_extremist_direct,42.425000,5.266217,41.695140,43.154860,43.000000,26.000000,54.000000,200
final_count_mainstream_algorithmic,601.695000,27.971485,597.818350,605.571650,603.000000,504.000000,674.000000,200
final_count_mainstream_coalition,148.325000,24.241030,144.965365,151.684635,147.000000,89.000000,208.000000,200
final_count_mainstream_direct,59.980000,14.987083,57.902896,62.057104,60.000000,29.000000,105.000000,200
convergence_settling_step,99.690000,,,,,,,
burst_rate,0.665556,,,,,,,
burst_size_median,15.000000,,,,,,,
escalation_mean_slope,1.265510,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.028654,,,,,,,
displacement_frac_negative,0.050000,,,,,,,
enclave_mean_homogeneity,0.917433,,,,,,,
enclave_settling_step,39.651515,,,,,,,
convergence_pattern_mode,STILL_CLIMBING,,,,,,,
