Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.449451,0.145915,6.429228,6.469674,6.456379,6.088357,6.770782,200
avg_utility_extremist,11.099854,0.767231,10.993521,11.206187,11.194181,8.868271,12.813646,200
avg_utility_mainstream,5.932740,0.150923,5.911823,5.953656,5.935507,5.523194,6.305676,200
avg_utility_gov_algorithmic,6.156375,0.184324,6.130829,6.181921,6.154541,5.631958,6.555520,200
avg_utility_gov_coalition,6.183181,0.349905,6.134687,6.231675,6.137614,5.265792,7.636805,200
avg_utility_gov_direct,8.734338,0.569776,8.655371,8.813304,8.683152,7.397017,10.753495,200
avg_utility_extremist_algorithmic,9.053274,1.883362,8.790939,9.315610,8.772172,4.823529,16.411765,198
avg_utility_extremist_coalition,11.221743,2.937232,10.776254,11.667231,10.962107,5.313725,17.636364,167
avg_utility_extremist_direct,13.353005,0.454114,13.290068,13.415942,13.328277,11.961477,15.074426,200
avg_utility_mainstream_algorithmic,6.016243,0.167150,5.993077,6.039408,6.027442,5.526808,6.426769,200
avg_utility_mainstream_coalition,5.800843,0.272559,5.763068,5.838618,5.813103,4.819692,6.474988,200
avg_utility_mainstream_direct,5.461173,0.311342,5.418023,5.504322,5.421124,4.447297,6.743219,200
norm_utility_extremist,0.924988,0.063936,0.916127,0.933849,0.932848,0.739023,1.067804,200
norm_utility_mainstream,0.593274,0.015092,0.591182,0.595366,0.593551,0.552319,0.630568,200
total_relocations,62012.395000,635.225872,61924.357186,62100.432814,62017.000000,58445.000000,64839.000000,200
avg_relocations_per_community,68.902661,0.705807,68.804841,69.000481,68.907778,64.938889,72.043333,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,636.485000,30.341437,632.279891,640.690109,637.500000,560.000000,714.000000,200
final_proportion_algorithmic,0.707206,0.033713,0.702533,0.711878,0.708333,0.622222,0.793333,200
final_count_coalition,160.060000,26.489714,156.388713,163.731287,158.000000,100.000000,232.000000,200
final_proportion_coalition,0.177844,0.029433,0.173765,0.181924,0.175556,0.111111,0.257778,200
final_count_direct,103.455000,15.296006,101.335082,105.574918,102.000000,64.000000,145.000000,200
final_proportion_direct,0.114950,0.016996,0.112595,0.117305,0.113333,0.071111,0.161111,200
final_count_extremist_algorithmic,33.330000,13.787734,31.419118,35.240882,36.000000,0.000000,56.000000,200
final_count_extremist_coalition,14.360000,12.997503,12.558638,16.161362,12.000000,0.000000,52.000000,200
final_count_extremist_direct,42.310000,5.048897,41.610259,43.009741,42.000000,30.000000,56.000000,200
final_count_mainstream_algorithmic,603.155000,28.927929,599.145794,607.164206,604.000000,518.000000,673.000000,200
final_count_mainstream_coalition,145.700000,24.288674,142.333761,149.066239,144.000000,91.000000,217.000000,200
final_count_mainstream_direct,61.145000,14.541708,59.129622,63.160378,60.000000,25.000000,103.000000,200
convergence_settling_step,99.640000,,,,,,,
burst_rate,0.677778,,,,,,,
burst_size_median,21.000000,,,,,,,
escalation_mean_slope,0.240160,,,,,,,
escalation_p_value,0.000559,,,,,,,
displacement_util_delta_mean,0.025468,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.921953,,,,,,,
enclave_settling_step,35.827411,,,,,,,
convergence_pattern_mode,STILL_CLIMBING,,,,,,,
