Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.646197,0.101159,6.632177,6.660217,6.650833,6.362909,6.963333,200
avg_utility_extremist,9.614452,0.553927,9.537682,9.691223,9.593386,8.108533,10.992260,200
avg_utility_mainstream,6.316391,0.101784,6.302284,6.330497,6.323409,5.997874,6.593803,200
avg_utility_gov_algorithmic,6.399639,0.120066,6.382999,6.416279,6.404262,6.103582,6.756709,200
avg_utility_gov_coalition,6.390707,0.245147,6.356732,6.424683,6.350888,5.676524,7.167210,200
avg_utility_gov_direct,9.498584,0.458808,9.434996,9.562171,9.489953,8.293750,10.619249,200
avg_utility_extremist_algorithmic,7.441603,1.036491,7.286701,7.596506,7.490037,5.000000,11.000000,172
avg_utility_extremist_direct,11.713553,0.402396,11.657784,11.769323,11.731057,10.607407,12.567460,200
avg_utility_mainstream_algorithmic,6.346636,0.110642,6.331302,6.361970,6.349635,6.000570,6.638570,200
avg_utility_mainstream_coalition,6.285465,0.190994,6.258995,6.311935,6.287030,5.676524,6.765693,200
avg_utility_mainstream_direct,5.792001,0.508027,5.721592,5.862410,5.708451,4.606625,7.242424,200
norm_utility_extremist,0.640963,0.036928,0.635845,0.646082,0.639559,0.540569,0.732817,200
norm_utility_mainstream,0.631639,0.010178,0.630228,0.633050,0.632341,0.599787,0.659380,200
total_relocations,70764.345000,567.581350,70685.682238,70843.007762,70772.500000,68949.000000,72199.000000,200
avg_relocations_per_community,78.627050,0.630646,78.539647,78.714453,78.636111,76.610000,80.221111,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,663.290000,24.414879,659.906270,666.673730,666.000000,596.000000,713.000000,200
final_proportion_algorithmic,0.736989,0.027128,0.733229,0.740749,0.740000,0.662222,0.792222,200
final_count_coalition,164.130000,23.349284,160.893954,167.366046,160.500000,119.000000,242.000000,200
final_proportion_coalition,0.182367,0.025944,0.178771,0.185962,0.178333,0.132222,0.268889,200
final_count_direct,72.580000,9.596042,71.250056,73.909944,71.000000,50.000000,100.000000,200
final_proportion_direct,0.080644,0.010662,0.079167,0.082122,0.078889,0.055556,0.111111,200
final_count_extremist_algorithmic,33.335000,16.875327,30.996199,35.673801,40.500000,0.000000,62.000000,200
final_count_extremist_coalition,11.730000,16.971365,9.377889,14.082111,0.500000,0.000000,57.000000,200
final_count_extremist_direct,44.935000,4.655010,44.289848,45.580152,45.000000,28.000000,56.000000,200
final_count_mainstream_algorithmic,629.955000,18.254840,627.425008,632.484992,629.500000,587.000000,677.000000,200
final_count_mainstream_coalition,152.400000,16.817973,150.069148,154.730852,153.000000,112.000000,198.000000,200
final_count_mainstream_direct,27.645000,8.316538,26.492387,28.797613,27.000000,9.000000,57.000000,200
avg_utility_extremist_coalition,8.310032,1.769284,7.963252,8.656812,8.025057,4.973214,12.444444,100
burst_rate,0.642222,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,0.364748,,,,,,,
escalation_p_value,0.000115,,,,,,,
displacement_util_delta_mean,0.030460,,,,,,,
displacement_frac_negative,0.000000,,,,,,,
enclave_mean_homogeneity,0.982646,,,,,,,
enclave_settling_step,8.078333,,,,,,,
burst_rate,0.642222,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,0.364748,,,,,,,
escalation_p_value,0.000115,,,,,,,
displacement_util_delta_mean,0.030460,,,,,,,
displacement_frac_negative,0.000000,,,,,,,
enclave_mean_homogeneity,0.982646,,,,,,,
enclave_settling_step,8.078333,,,,,,,
burst_rate,0.642222,,,,,,,
burst_size_median,24.000000,,,,,,,
escalation_mean_slope,0.364748,,,,,,,
escalation_p_value,0.000115,,,,,,,
displacement_util_delta_mean,0.030460,,,,,,,
displacement_frac_negative,0.000000,,,,,,,
enclave_mean_homogeneity,0.982646,,,,,,,
enclave_settling_step,8.078333,,,,,,,
